顧客コード,アカウント識別子,メルマガ区分
25617,JJNLGNG55QTJ54JTP4J45TP4,1
29714,QO55L5GJ5JGQJ4G4P4QO5TPQ,1
29724,J5O55Q5455QLN4JTP4O055PO,1
29316,TOOO0ONO5LO5L55TP445TTPL,1
27722,O5O55Q5J55QTJ4GTP4Q055PJ,1
28716,LONL50QQ555GO4QTP44Q5TPT,1
29383,G5O55J5T55QOT40TP44055P0,1
29392,L5O5555555QTJ4TTP40055PO,1
29333,G5O55T5555QQL4OTP4G055P4,1
26093,55O55L5455QOG4LTP40055PO,1
27611,05L00NNT50QNQ5NTP4QO5TPG,1
29488,G5O55G5455QN54GTP4Q055PG,1
29355,0OQO5L5O505LLONTP4OL54PJ,1
24707,0QN0O4G45OJ0L5TTP4JTTTPN,1
29216,J5O55G5T55QQQ40TP4N055P0,1
130044,O5O55G5J55QQ44JTP45055PL,1
130052,N5O5505O55Q4L45TP4T055PL,1
130082,05O55N5J55QNG45TP40055PL,1
130107,G5O55T5555QLT4GTP40055PJ,1
130164,54G5G0GQ5GNJOTTTP45T5TPO,1
129530,O5O5555O55Q5540TP44055PJ,1
130717,55O5545555QLG4QTP4J055P4,1
130743,Q5O55G5O55Q554JTP4T055PO,1
130782,55O55Q5455Q054LTP4T055PL,1
131249,4JT5L00O5OQ4J544P4OO5TPQ,1
131270,45O5505455QNG44TP4O055PT,1
131314,Q5O5505455Q5544TP4Q055P5,1
131324,NO0G5TNO5LJ4Q5LTP4LL55PL,1
125508,05O55Q5555Q0Q4TTP45055PO,1
131437,J5O55L5O55QQL4GTP44055PL,1
62973,GOJ50NTQ5NT0N5OTP4045TPN,1
98332,O5O55N5T55QJ04TTP4G055PO,1
98370,QOTJ55045JO4LTN4P40O5TP5,1
98453,N5O5545555QJ04LTP4L055PN,1
98530,G5O55L5555QGQ4JTP4N055P0,1
97196,45O5555455QJN4QTP40055PT,1
101274,5QJG5QJQ545JNO4TP4QN54PG,1
100340,T5O5555555QL54GTP45055P4,1
101367,J4LLQLTJ5JTGN50TP45L5TP5,1
102268,0J5TNTLJ5TGOG4O4P4JG55PN,1
102390,05O5545O55QTT4JTP4J055PQ,1
102413,QQGL4JO455JTNTNTP45TTTPL,1
99764,QQO5OOLO5L4J55JTP4N5TTPT,1
99882,T5O55L5T55Q404TTP4T055PT,1
99884,45O55Q5555QQ44GTP4J055PG,1
99923,T5O5505J55Q0440TP4T055P5,1
100035,T5O55Q5455Q454GTP4Q055P5,1
96273,G5O55G5T55QN44TTP45055P0,1
96322,55O5505J55Q0444TP4J055PL,1
93889,4QQ00OJQ5440L5LTP4GO5TPG,1
96435,N5O5555555Q454NTP40055PQ,1
96439,O5O5505J55Q0N4LTP4G055P5,1
96468,O5O55Q5J55QTL4LTP44055PL,1
95549,55O55J5T55QLQ44TP4N055P0,1
95791,0TT0Q00J5NNON4N4P4O45TPQ,1
20099,0QLGOL5O5QJOT40TP4OJ5TPN,1
19060,Q5O55J5455QOO40TP45055PO,1
20275,N5O55O5O55Q4G4OTP4G055P4,1
19953,G5O55N5455Q5L40TP40055PQ,1
19972,5O0N400T5LO4T4LTP4GT5TPN,1
18448,N5O55G5J55QG44LTP44055P5,1
20163,G5O55L5T55Q5T4LTP4T055P5,1
19397,QJQG0QOJ5GTT4TJTP4NL5TPT,1
19453,Q5O5545555QJ040TP4Q055P4,1
19554,05O5555555QOO4JTP40055PO,1
19563,G5O55T5455Q504GTP4O055PQ,1
19636,Q5O55N5J55Q0O4QTP4G055PQ,1
20574,L5O55J5J55QN54TTP4J055P0,1
20632,J5O55O5O55QJ04TTP4Q055PQ,1
18888,OTN40NOJ5GLNO55TP45T5TPQ,1
18498,G5O55G5O55QLT4GTP4N055P0,1
20458,L5O5555455QTG4LTP4T055P0,1
19756,05O5555O55QJ545TP4J055P0,1
19253,J5L0J00T5GQT44JTP4G05TPQ,1
20381,O5O55O5T55QLO45TP4J055PT,1
19088,Q5O5505455Q5Q4OTP40055PQ,1
18886,44JOJQJ450LL5T4TP4LN5TPO,1
19111,O5O5545555Q5O4TTP4T055PO,1
19118,G5O55Q5455Q544LTP4Q055P5,1
119763,Q5O55T5455Q0G4JTP4Q055P5,1
120569,J5O55G5455QQN4TTP45055P4,1
47430,L5O55G5T55QJN4JTP4T055PQ,1
47435,N5O55L5O55QL54NTP4Q055P0,1
47464,L5O55O5455Q5O45TP40055PN,1
47468,O5O5545T55QJO4OTP40055PQ,1
47539,45O5505O55QOJ45TP4L055P0,1
47601,O5O55O5555Q454TTP4J055PQ,1
47766,L5O55N5555QGQ4NTP4J055PG,1
47786,O5O55T5455Q5L4QTP4N055PN,1
47844,J5O55L5455QGG4JTP44055PT,1
47915,0OLNGJO555QJG40TP4LN5TPO,1
42421,45O55G5J55QQQ4JTP4L055P0,1
45890,J5O55G5555QT440TP4J055P5,1
45958,T5O55Q5O55QQ44NTP45055PG,1
42416,55O55T5O55QOG4QTP4N055PQ,1
15029,TJLL55N550LLGT5TP4JTTTPT,1
42458,J5O55G5555QOL4TTP45055PL,1
46636,5OGOJ0G5550QJT4TP4T5TTPG,1
46150,OJN0GQ5T5QNG44QTP4ON55PN,1