顧客コード,週バージョン,定期解約日時,定期管理更新者,定期管理作成者
100,1928,2019/7/8 2:37,9999,9999
100,1928,2019/7/6 11:22,9999,9999
100,1928,2019/7/10 14:18,9999,9999
100,1927,2019/7/2 4:20,9999,9999
100,1927,2019/6/27 4:05,9000,9999
109,1927,2019/6/28 2:33,99,9999
109,1927,2019/6/28 2:41,9999,9999
115,1927,2019/7/2 23:32,9999,9999
115,1927,2019/7/2 23:44,9999,9999
120,1926,2019/6/25 6:56,9999,9999
120,1927,2019/6/27 7:19,9000,9999
120,1928,2019/7/5 3:22,9000,9999
120,1926,2019/6/24 6:42,9999,9999
120,1928,2019/7/5 4:40,9999,9999
120,1928,2019/7/5 4:30,9999,9999
120,1928,2019/7/5 4:28,9999,9999
120,1928,2019/7/5 3:26,9999,9999
143,1934,2019/8/16 4:26,9999,9999
145,1929,2019/7/11 3:41,9999,9999
145,1927,2019/7/1 5:55,9999,9999
145,1927,2019/7/1 5:51,9999,9999
263,1929,2019/7/12 2:55,9999,9999
263,1930,2019/7/18 5:46,9999,9999
263,1932,2019/8/1 2:35,9999,9999
263,1929,2019/7/11 1:55,9999,9999
263,1928,2019/7/10 7:16,1,9999
263,1931,2019/7/25 1:06,9999,9999
300,1930,2019/7/25 0:17,9999,9999
464,2116,2021/4/20 23:19,9999,9999
501,1929,2019/7/17 8:58,146,9999
542,1931,2019/7/25 5:25,9999,9999
542,2205,2022/1/29 21:32,9999,9999
560,2039,2020/9/21 6:06,9999,9002
569,1931,2019/7/26 8:58,9999,9999
572,2009,2020/2/26 9:36,9000,9999
574,2144,2021/10/30 11:48,3122,9999
576,1947,2019/11/17 21:59,9000,9999
576,2006,2020/1/30 13:56,9999,9999
576,1936,2019/8/29 7:29,9999,9999
577,1933,2019/8/10 3:19,1411,9999
578,1941,2019/10/3 10:43,1411,9999
587,2117,2021/4/22 12:39,9999,9999
589,1931,2019/7/25 10:10,9999,9999
590,1939,2019/9/25 6:07,9000,9999
591,1931,2019/7/28 13:49,9999,9999
594,2117,2021/4/22 11:58,9999,9999
600,1939,2019/9/25 23:02,1411,9999
601,2045,2020/11/2 8:47,3122,9999
602,2009,2020/2/20 9:50,1194,9999
602,2024,2020/6/4 12:04,3122,9999
602,1951,2019/12/12 8:10,9999,9999
602,1934,2019/8/15 9:15,9000,9999
602,1942,2019/10/11 4:30,1411,9999
602,2005,2020/1/23 10:27,239,9999
602,2037,2020/9/8 4:34,9999,9999
603,1934,2019/8/21 2:16,9000,9999
604,1933,2019/8/8 13:43,9999,9999
605,1943,2019/10/23 12:34,9999,9999
606,1935,2019/8/26 11:26,9000,9999
612,2126,2021/6/30 1:11,9999,9999
612,2132,2021/8/10 5:17,9000,9999
612,2126,2021/6/24 2:56,9000,9999
612,2140,2021/10/4 2:05,9000,9999
612,2127,2021/7/2 3:19,9999,9999
612,2129,2021/7/15 4:06,9000,9999
612,2213,2022/3/24 6:43,9999,9999
612,2213,2022/3/24 2:20,9000,9999
613,1934,2019/8/19 11:10,9999,9999
614,2001,2019/12/30 0:29,9000,1878
618,1931,2019/7/25 10:17,9999,9999
619,1943,2019/10/17 12:07,9999,9999
619,1935,2019/8/25 5:41,9999,9999
622,1946,2019/11/7 8:37,9999,9999
623,2028,2020/7/8 15:40,3122,9002
625,1933,2019/8/11 12:49,9000,9999
627,1936,2019/9/2 10:03,9000,9999
631,1936,2019/8/31 21:36,9999,9999
633,1940,2019/9/28 1:09,9999,9999
635,2038,2020/9/15 22:50,9000,9999
636,2110,2021/3/6 15:23,9999,9999
637,1931,2019/7/25 13:32,9999,9999
638,2206,2022/2/3 18:43,9999,9999
639,2031,2020/7/24 8:52,9000,9999
641,1944,2019/10/30 10:01,9999,9999
643,2036,2020/9/2 14:34,9000,9999
646,1949,2019/11/28 15:13,9999,9999
650,2206,2022/2/5 8:02,9999,9999
651,1944,2019/10/27 10:51,9999,9999
652,2117,2021/4/27 14:25,9999,9999
652,2013,2020/3/23 9:21,3122,9999
653,1935,2019/8/22 13:24,9999,9999
656,1935,2019/8/26 8:14,9999,9999
656,2036,2020/8/31 5:59,3122,9999
658,1943,2019/10/23 12:38,1411,9999
659,2021,2020/5/19 12:48,3122,9999
662,1936,2019/9/1 12:34,9999,9999
664,2202,2022/1/10 6:32,3122,9999
667,1931,2019/7/26 2:52,9999,9999
672,2132,2021/8/6 12:39,9999,9999